School Name	Type	Phone #	Email	Contact form filled out?	# of CS courses	% on free or reduced lunch	% who go to 4-year schools	% who go to 2-year schools	% of freshmen who graduate / graduation rate	Address	Long	Lat	avg. income of surrounding area 	notes
Albuquerque Academy	Private	505-828-3151 (communications)	richards@aa.edu	N/A	5	24% on tuition assistance	100		100	6400 Wyoming Blvd NE, Albuquerque, NM 87109	35.151593	 -106.560124		
Albuquerque Institute for Mathematics and Science	Charter	(505) 559-4249	info@aims-unm.org	N/A						933 Bradbury Dr SE, Albuquerque, NM 87106	35.071256	 -106.632741		
Albuquerque High School	Public	(505) 843-6400	ryan.homistek@aps.edu	N/A						800 Odelia Rd NE, Albuquerque, NM 87102	35.098487	 -106.634781		
Albuquerque Talent Development Academy	Charter	505-503-2465	ggarza@atdscs.org	N/A						1800 Atrisco Dr NW, Albuquerque, NM 87120	35.10774	 -106.700639		
Amy Biehl High School	Charter	(505) 299-9409	mogawa@amybiehlhighschool.org	N/A						123 4th St SW, Albuquerque, NM 87102	35.083831	 -106.65175		
Atrisco Heritage Academy High School	Public	(505) 243-1458	cisneros_i@aps.edu	N/A						10800 Dennis Chavez Blvd, Albuquerque, NM 87121	35.024535	-106.749961		
Bosque School	Private	505-898-6388	admin@bosqueschool.org	N/A						4000 Bosque School Rd NW, Albuquerque, NM 87120	35.159598	 -106.612123		
Cibola High School	Public	(505) 897-0110	meyer_pam@aps.edu	N/A						1510 Ellison Dr NW, Albuquerque, NM 87114	35.205813	 -106.66181		
Corrales International School	Charter	505-344-9733	TafoyaN@CorralesIs.org	N/A						5500 Wilshire Ave NE, Albuquerque, NM 87113	35.181596	 -106.583239		
Digital Arts & Technology Academy	Charter	(505) 341-0888	lisa.myhre@datacharter.org	N/A						1011 Lamberton Pl NE, Albuquerque, NM 87107	35.111135	 -106.633373		
Del Norte High School	Public	(505) 883-7222	sloan_j@aps.edu	Email immediately failed upon delivery						5323 Montgomery Blvd NE, Albuquerque, NM 87110	35.131007	 -106.583808		
El Camino Real Academy	Charter	505.314.2212	????							3713 Isleta Blvd SW, Albuquerque, NM 87105	35.022279	 -106.682024		
Eldorado High School	Public	(505) 296-4871	sandoval_mc@aps.edu	N/A						11300 Montgomery Blvd NE, Albuquerque, NM 87111	35.130605	 -106.513328		
Highland High School	Public	(505) 265-3711	harris_ma@aps.edu	N/A						4700 Coal Ave SE, Albuquerque, NM 87108	35.075663	 -106.591503		
Hope Christian School	Private	(505) 821-2513	tlheisey@hcsnm.org	N/A						8005 Louisiana Blvd NE, Albuquerque, NM 87109	35.173586	 -106.568889		
La Academia de Esperanza Charter School	Charter		janaya@esperanza-pride.org	N/A						1401 Old Coors Dr SW, Albuquerque, NM 87121	35.058236	 -106.704662		
La Cueva High School	Public		dana.lee1@aps.edu	N/A						7801 Wilshire Ave NE, Albuquerque, NM 87122	35.181509	 -106.556488		
Los Puentes High School	Charter		dsanchez@lospuentes.org	N/A						4012 4th St NW, Albuquerque, NM 87107	35.124362	 -106.64399		
Media Arts Collaborative Charter School	Charter		????	????						4401 Central Ave NE, Albuquerque, NM 87108	35.078773	-106.594713		
Manzano High School	Public		karen.webb2@aps.edu	N/A						12200 Lomas Blvd NE, Albuquerque, NM 87112	35.086554	 -106.511085		
Menaul School	Private		https://www.menaulschool.org/about/contact-us/	Yes						301 Menaul Blvd NE, Albuquerque, NM 87107	35.109936	 -106.637559		
Native American Community Academy	Charter		tirzah@nacaschool.org							1000 Indian School Rd NW, Albuquerque, NM 87104	35.107656	 -106.655575		
Nex+Gen Academy	Magnet		stephanie.archibeque@nexgenacademy.com							5325 Montgomery Blvd NE, Albuquerque, NM 87109	35.130966	 -106.581195		
Mark Armijo Academy	Charter		http://markarmijo.com/contact/contact/	Yes						6800 Gonzales Rd SW, Albuquerque, NM 87121	35.073492	-106.711025		
Public Academy for Performing Arts	Charter		info@paparts.org							11800 Princess Jeanne Ave NE, Albuquerque, NM 87112	35.096895	-106.517802		
Rio Grande High School	Public		amanda.debell@aps.edu		2	100	33%	36%	62%* going to find out what they meant	2300 Arenal Rd SW, Albuquerque, NM 87105	35.050885	-106.695658		
Robert F. Kennedy High School	Charter		http://www.rfkcharter.com/contact-rfk-charter-school/	Yes						4300 Blake Rd SW, Albuquerque, NM 87121	35.037934	 -106.722895		
St. Pius X High School	Private		https://www.spx.org/user/119/contact	Yes						5301 St Josephs Dr NW, Albuquerque, NM 87120	35.127992	 -106.700369		
Sandia High School	Public		danza_l@aps.edu							7801 Candelaria Rd NE, Albuquerque, NM 87110	35.11648	 -106.556657		
Sandia Preparatory School	Private		﻿info@sandiaprep.org							532 Osuna Rd NE, Albuquerque, NM 87113	35.150821	 -106.61825		
South Valley Academy	Charter		????	????						3426 Blake Rd SW, Albuquerque, NM 87105	35.036221	 -106.709605		
Technology Leadership High School	Charter		contact@techabq.org							10500 Research Rd SE, Albuquerque, NM 87123	35.055382	 -106.529489		
Valley High School	Public		griego_a@aps.edu							1505 Candelaria Rd NW, Albuquerque, NM 87107	35.123561	 -106.661458		
Volcano Vista High School	Public		Vickie.Bannerman@aps.edu							8100 Rainbow Blvd NW, Albuquerque, NM 87114	35.175876	 -106.734264		
West Mesa High School	Public		Garcia_Mark@aps.edu							6701 Fortuna Rd NW, Albuquerque, NM 87121	35.094382	 -106.713959		
